,PlateNumb,StopUID,StopID,StopName,RouteUID,RouteID,RouteName,SubRouteUID,SubRouteID,SubRouteName,Direction,StopSequence,StopStatus,NextBusTime,SrcUpdateTime,UpdateTime,EstimateTime,Estimates
0,,KHH30230,30230,"{'Zh_tw': '菜公一路口', 'En': 'Caigong 1st Rd. Intersection'}",KHH15111,15111,"{'Zh_tw': '紅51A公車式小黃', 'En': 'Red51A'}",KHH15111,15111,"{'Zh_tw': '紅51A公車式小黃', 'En': 'Red51A'}",1,17,1,2021-12-14T20:15:00+08:00,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,
1,,KHH30276,30276,"{'Zh_tw': '菜公一路口', 'En': 'Caigong 1st Rd. Intersection'}",KHH15112,15112,"{'Zh_tw': '紅51B公車式小黃', 'En': 'Red51B'}",KHH15112,15112,"{'Zh_tw': '紅51B公車式小黃', 'En': 'Red51B'}",1,19,1,2021-12-14T23:42:00+08:00,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,
2,,KHH32336,32336,"{'Zh_tw': '菜公一路口', 'En': 'Caigong 1st Rd. Intersection'}",KHH15174,15174,"{'Zh_tw': '紅51C', 'En': 'Red51C'}",KHH15174,15174,"{'Zh_tw': '紅51C', 'En': 'Red51C'}",1,14,1,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,
3,,KHH33323,33323,"{'Zh_tw': '菜公一路口', 'En': 'Caigong 1st Rd. Intersection'}",KHH15212,15212,"{'Zh_tw': '紅51A (預約)', 'En': 'Red51A (Order)'}",KHH15212,15212,"{'Zh_tw': '紅51A (預約)', 'En': 'Red51A (Order)'}",1,17,1,2021-12-14T22:15:00+08:00,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,
4,,KHH33369,33369,"{'Zh_tw': '菜公一路口', 'En': 'Caigong 1st Rd. Intersection'}",KHH15213,15213,"{'Zh_tw': '紅51B (預約)', 'En': 'Red51B (Order)'}",KHH15213,15213,"{'Zh_tw': '紅51B (預約)', 'En': 'Red51B (Order)'}",1,19,1,2021-12-14T21:00:00+08:00,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,
5,,KHH5175,5175,"{'Zh_tw': '菜公一路口', 'En': 'Caigong 1st Rd. Intersection'}",KHH245,245,"{'Zh_tw': '245A', 'En': '245A'}",KHH245,245,"{'Zh_tw': '245A', 'En': '245A'}",0,44,3,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,
6,,KHH5175,5175,"{'Zh_tw': '菜公一路口', 'En': 'Caigong 1st Rd. Intersection'}",KHH2451,2451,"{'Zh_tw': '245B(延駛高雄大學)', 'En': '245B'}",KHH2451,2451,"{'Zh_tw': '245B(延駛高雄大學)', 'En': '245B'}",0,47,3,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,
7,,KHH5724,5724,"{'Zh_tw': '菜公一路口', 'En': 'Caigong 1st Rd. Intersection'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",0,21,1,2021-12-14T20:11:00+08:00,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,
8,916-V2,KHH5725,5725,"{'Zh_tw': '菜公一路口', 'En': 'Caigong 1st Rd. Intersection'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",KHH301,301,"{'Zh_tw': '301', 'En': '301'}",1,37,0,2021-12-14T20:26:00+08:00,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,1320.0,"[{'PlateNumb': '916-V2', 'EstimateTime': 1320, 'IsLastBus': False}]"
9,193-FV,KHH5725,5725,"{'Zh_tw': '菜公一路口', 'En': 'Caigong 1st Rd. Intersection'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",KHH3011,3011,"{'Zh_tw': '301區間', 'En': '301(Interval)'}",1,37,0,2021-12-14T20:22:00+08:00,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,540.0,"[{'PlateNumb': '193-FV', 'EstimateTime': 540, 'IsLastBus': False}]"
10,,KHH5723,5723,"{'Zh_tw': '菜公一路口', 'En': 'Caigong 1st Rd. Intersection'}",KHH851,851,"{'Zh_tw': '紅51A', 'En': 'Red51A'}",KHH851,851,"{'Zh_tw': '紅51A', 'En': 'Red51A'}",1,16,3,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,
11,,KHH5723,5723,"{'Zh_tw': '菜公一路口', 'En': 'Caigong 1st Rd. Intersection'}",KHH8511,8511,"{'Zh_tw': '紅51B', 'En': 'Red51B'}",KHH8511,8511,"{'Zh_tw': '紅51B', 'En': 'Red51B'}",1,21,1,,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,,
12,838-V2,KHH5722,5722,"{'Zh_tw': '菜公一路口', 'En': 'Caigong 1st Rd. Intersection'}",KHH8531,8531,"{'Zh_tw': '紅53梓官幹線-主', 'En': 'Red53A'}",KHH8531,8531,"{'Zh_tw': '紅53梓官幹線-主', 'En': 'Red53A'}",1,34,0,2021-12-14T20:41:00+08:00,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,180.0,"[{'PlateNumb': '838-V2', 'EstimateTime': 180, 'IsLastBus': False}, {'PlateNumb': '756-FP', 'EstimateTime': 2100, 'IsLastBus': False}]"
13,851-V2,KHH5722,5722,"{'Zh_tw': '菜公一路口', 'En': 'Caigong 1st Rd. Intersection'}",KHH8532,8532,"{'Zh_tw': '紅53梓官幹線-區間(原 紅55)', 'En': 'Red53(Interval)'}",KHH8532,8532,"{'Zh_tw': '紅53梓官幹線-區間(原 紅55)', 'En': 'Red53(Interval)'}",1,25,0,2021-12-14T20:18:00+08:00,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,780.0,"[{'PlateNumb': '851-V2', 'EstimateTime': 780, 'IsLastBus': False}, {'PlateNumb': '862-V2', 'EstimateTime': 2400, 'IsLastBus': False}]"
14,191-FV,KHH5722,5722,"{'Zh_tw': '菜公一路口', 'En': 'Caigong 1st Rd. Intersection'}",KHH8533,8533,"{'Zh_tw': '紅53梓官幹線-副', 'En': 'Red53B'}",KHH8533,8533,"{'Zh_tw': '紅53梓官幹線-副', 'En': 'Red53B'}",1,37,0,2021-12-14T20:20:00+08:00,2021-12-14T20:07:27+08:00,2021-12-14T20:07:47+08:00,960.0,"[{'PlateNumb': '191-FV', 'EstimateTime': 960, 'IsLastBus': False}]"
